CONTRACT_ID;CLIENT_ID;TERM;CONTRACT_SUM;GENDER;AGE;LOAN_TO_INCOME;PAYMENT_TO_INCOME;DOWNPAYMENT;CAR_CATEGORY;GRACE_PERIOD;RATE_CHANGE_AFTER_GRACE
17228104;251471;60;1185.75;M;32;10;0.22;0.40;2;6;13
17237409;251501;18;512.47;M;30;7;0.37;0.70;2;18;15
17276280;251669;60;1529.24;M;36;10;0.23;0.10;2;6;13
17282809;251684;60;906.53;M;27;6;0.15;0.30;1;6;13
17283247;251692;60;1593.5;F;50;18;0.42;0.10;2;6;13
17294333;251746;60;1442.03;M;26;16;0.36;0.20;2;6;13
17306398;251779;60;971.55;M;51;13;0.29;0.40;2;6;13
17320168;251852;60;1748.79;F;54;27;0.62;0.10;2;6;13
17324117;251872;60;1524.65;M;46;16;0.37;0.10;2;6;13
17343042;252176;60;1426.73;M;35;9;0.2;0.20;2;6;13
17361127;252262;48;1277.55;M;31;12;0.31;0.20;1;0;0
17380290;252336;60;970.79;F;50;10;0.22;0.50;2;6;13
17380435;252339;84;910.35;M;34;10;0.18;0.50;2;12;2
17440098;251626;17;517.52;M;37;3;0.17;0.70;2;17;15
17440159;252496;12;688.5;M;48;6;0.49;0.50;1;12;15
17441336;252521;84;1625.63;F;58;21;0.39;0.10;2;12;2
17451043;252570;60;956.25;M;32;11;0.26;0.30;1;6;13
17453460;252610;12;550.8;M;61;5;0.45;0.70;2;12;15
17457275;252621;84;765;F;34;10;0.2;0.80;3;12;15
17457499;252623;60;1552.19;M;34;9;0.21;0.10;2;6;13
17464703;252645;84;765;F;61;10;0.19;0.70;2;12;2
17469653;252673;60;820.85;F;44;9;0.2;0.50;1;6;13
17471524;252675;12;382.5;F;48;5;0.38;0.80;2;12;15
17480620;252692;12;466.65;M;50;5;0.42;0.70;1;12;15
17482944;252718;60;1808.46;M;35;14;0.32;0.10;2;12;9
17486396;252755;84;2295;M;36;21;0.4;0.20;2;12;2
17487145;252765;84;1341.31;M;60;13;0.26;0.60;3;12;15
17487154;252766;84;2598.71;F;39;9;0.16;0.30;3;12;2
17496736;252781;48;891.23;M;48;14;0.35;0.50;2;0;0
17515338;253076;84;2562.39;M;42;28;0.52;0.10;2;12;2
17519015;253103;84;1723.27;M;32;16;0.29;0.40;2;12;2
17526637;253145;84;1491.75;M;35;11;0.22;0.30;2;12;15
17527642;253172;84;1876.32;F;40;7;0.15;0.50;3;12;15
17534386;92731;60;688.5;M;61;9;0.21;0.50;1;6;13
17539543;253220;84;1262.25;F;49;8;0.14;0.50;2;12;2
17540012;253229;84;459;F;43;5;0.1;0.30;1;12;2
17543478;253239;84;1453.86;M;45;17;0.34;0.60;3;12;15
17547601;253246;60;1182.69;M;34;8;0.18;0.50;2;6;13
17549778;253256;84;1911.74;F;49;22;0.41;0.50;3;12;2
17550256;253265;12;1147.5;M;32;2;0.18;0.60;2;12;15
17551572;253274;12;918;M;56;2;0.19;0.60;2;12;15
17556467;253298;84;1530;M;31;20;0.38;0.40;2;12;2
17565285;136049;84;1139.85;M;28;14;0.28;0.60;2;12;15
17566489;253344;48;1803.11;M;34;18;0.46;0.10;2;0;0
17583019;253422;18;569.16;F;29;5;0.29;0.70;2;18;15
17596058;253474;18;872.37;M;45;8;0.47;0.80;3;18;15
17600051;253480;60;1617.98;F;48;10;0.23;0.10;2;6;13
17605180;253513;60;1806.93;M;32;18;0.42;0.10;2;6;13
17612130;253536;18;459;M;61;5;0.3;0.70;2;18;15
17614909;133654;84;2196.32;F;28;23;0.42;0.10;2;12;2
17614995;253541;18;546.98;M;42;7;0.36;0.70;2;18;15
17615741;253548;84;872.1;F;56;12;0.25;0.60;2;12;15
17615965;253550;60;875.93;M;55;13;0.29;0.50;2;6;13
17616155;253553;60;401.63;M;28;5;0.11;0.30;1;6;13
17616223;253555;60;841.5;M;61;13;0.29;0.40;1;6;13
17617121;253565;84;1530;F;48;10;0.18;0.50;3;12;2
17619665;253570;84;1224;M;44;16;0.3;0.70;3;12;2
17620492;253577;60;957.78;F;38;13;0.28;0.50;2;6;13
17620542;253578;84;1606.5;M;45;19;0.36;0.50;3;12;2
17630865;253613;84;1795.46;F;40;17;0.31;0.20;2;12;2
17635143;253633;60;894.13;M;55;10;0.22;0.20;1;6;13
17643174;253660;84;3140.24;M;30;14;0.27;0.10;3;12;2
17643189;253662;84;1299.96;M;28;14;0.26;0.40;2;12;2
17645359;253680;84;2418.08;F;49;16;0.31;0.30;3;12;2
17648386;253688;84;1025.74;F;45;12;0.23;0.60;2;12;2
17648448;253690;60;1136.03;M;59;13;0.3;0.30;2;6;13
17648985;253695;60;1530;M;53;18;0.41;0.20;2;6;13
17652337;253700;84;2570.4;M;37;12;0.23;0.40;3;12;2
17653775;253701;18;247.23;M;32;2;0.09;0.90;2;18;15
17656550;253710;12;826.2;M;52;6;0.52;0.60;2;12;15
17657283;253721;60;953.96;F;50;12;0.28;0.50;2;6;13
17658637;253748;60;1981.35;M;31;5;0.11;0.10;2;6;13
17664447;253772;60;1694.86;F;33;12;0.28;0.10;2;6;13
17666541;253776;60;1026.63;M;33;9;0.21;0.50;2;12;9
17669732;253785;84;3057.26;F;47;22;0.41;0.40;4;12;2
17670028;253795;84;1942.18;F;31;19;0.35;0.20;2;12;2
17670249;253802;84;1544.92;M;34;16;0.31;0.30;2;12;2
17676552;253827;84;662.49;M;32;8;0.15;0.30;1;12;2
17699612;253845;11;880.9;F;60;6;0.51;0.50;2;11;15
17700846;253865;18;546.98;M;29;7;0.38;0.70;2;18;15
17701738;253879;60;914.18;F;33;10;0.23;0.50;2;6;13
17705211;253890;84;1194.32;F;53;13;0.25;0.30;2;12;2
17712533;253926;11;1341.84;F;45;4;0.37;0.60;3;11;15
17713743;253937;60;1410.66;M;32;15;0.35;0.20;2;6;13
17718361;253976;60;1238.54;M;33;16;0.36;0.30;2;6;13
17718710;253982;48;1534.59;M;37;11;0.27;0.10;2;0;0
17720131;253997;84;1288.26;M;30;15;0.29;0.10;1;12;1
17723600;254000;48;1808.46;M;37;12;0.3;0.10;2;0;0
17723740;254001;48;1640.16;F;56;17;0.43;0.10;2;0;0
17725882;254008;84;2319.67;F;32;7;0.14;0.20;2;12;2
17730318;254048;60;1567.71;F;44;15;0.33;0.10;2;6;13
17730660;254051;48;1240.07;F;46;13;0.33;0.30;2;0;0
17731914;254057;60;1787.81;M;38;11;0.24;0.10;2;6;13
17732851;254060;48;1092.42;F;49;13;0.33;0.50;2;0;0
17738727;254072;60;1259.19;F;44;14;0.31;0.40;2;12;9
